Start,End,Label
0,165000,Gru telling a story to the girls
165000,266000,Companion intending to send the girls away
266000,389000,The girls being sent away
389000,542000,Gru starts focusing on his career but still misses the girls
542000,599000,Someone launching a sneak attack
