Start,End,Label
0,50000,Asking for a story before bedtime
50000,170000,Telling a story
170000,215000,Immersed in family warmth
215000,275000,Talking about criminal work reluctantly
275000,300000,Minions playing around
300000,325000,Playing house with the children
325000,356000,Adults picking up the children
356000,435000,"Falling into sadness, preparing for work"
435000,600000,"Proceeding with the moon landing, clearing obstacles"
