Start,End,Label
0,29000,Boy sitting and playing video games
29000,44000,Mother coming home and bringing back a gift
44000,56000,Boy opening the gift
56000,92000,Boy disliking the gift
92000,155000,Puppy inviting the boy to play together
155000,180000,Boy starting to interact with the puppy
180000,209000,Boy accepting the gift and deciding to go outside to play with the puppy
