Start,End,Label
0,17000,Little boy playing video games
17000,34000,Mother giving a gift to the boy
34000,70000,Receiving a disabled puppy
70000,167000,Puppy fetching the ball to play with the boy
167000,208000,"The boy, realizing he and the dog share the same disability, goes outside to play with it"
