Start,End,Label
0,22000,Child playing video games
22000,54000,His mother coming home and bringing him a gift
54000,71000,"The boy opens the gift, finds a disabled puppy, and shows dislike"
71000,173000,The puppy's persistent effort to play with the little boy moves him
173000,199000,The disabled boy is finally moved by the disabled puppy and they play together
