Start,End,Label
0,45000,Boy playing video games at home
45000,69000,Unwrapping the gift from mother
69000,133000,Discovering it is a disabled dog and feeling aversion
133000,164000,Attitude gradually changing
164000,206000,Getting up to go outside and play with the dog
