ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.000,0.000
2000,0.000,0.000
2200,0.000,0.000
2400,0.000,0.000
2600,0.000,0.000
2800,0.000,0.000
3000,0.000,0.000
3200,0.000,0.000
3400,0.000,0.000
3600,0.000,0.000
3800,0.000,0.000
4000,0.000,0.000
4200,0.000,0.000
4400,0.000,0.000
4600,0.000,0.000
4800,0.000,0.000
5000,0.000,0.000
5200,0.000,0.000
5400,0.000,0.000
5600,0.000,0.000
5800,0.147,-0.100
6000,0.147,-0.100
6200,0.147,-0.100
6400,0.586,0.219
6600,0.586,0.219
6800,0.705,0.339
7000,0.745,0.339
7200,0.745,0.339
7400,0.904,0.458
7600,1.382,0.857
7800,1.422,0.896
8000,1.462,0.936
8200,1.940,1.255
8400,1.940,1.255
8600,1.940,1.255
8800,2.179,1.534
9000,2.219,1.534
9200,2.219,1.534
9400,2.219,1.534
9600,2.219,1.534
9800,2.219,1.574
10000,2.299,1.853
10200,2.299,1.932
10400,2.339,2.012
10600,2.339,2.012
10800,2.339,2.012
11000,2.339,2.012
11200,2.498,2.490
11400,2.697,2.769
11600,2.697,2.809
11800,2.697,2.809
12000,2.697,2.809
12200,2.697,2.809
12400,2.976,3.287
12600,3.016,3.406
12800,3.335,4.004
13000,3.335,4.004
13200,3.335,4.004
13400,3.335,4.004
13600,3.335,4.004
13800,3.335,4.004
14000,3.335,4.004
14200,3.335,4.004
14400,3.335,4.004
14600,3.175,4.562
14800,3.175,4.562
15000,3.175,4.562
15200,3.175,4.562
15400,3.175,4.562
15600,3.175,4.562
15800,3.175,4.562
16000,3.175,4.562
16200,3.375,4.402
16400,3.375,4.402
16600,3.454,4.363
16800,3.454,4.363
17000,3.454,4.363
17200,3.454,4.363
17400,3.454,4.363
17600,3.454,4.363
17800,3.454,4.363
18000,3.454,4.363
18200,3.454,4.363
18400,3.454,4.363
18600,3.454,4.363
18800,3.454,4.363
19000,3.454,4.363
19200,3.454,4.363
19400,3.454,4.363
19800,3.454,4.363
20000,3.454,4.363
20200,3.454,4.363
20400,3.454,4.363
20600,3.454,4.363
20800,3.454,4.363
21000,3.454,4.363
21200,3.454,4.363
21400,3.454,4.363
21600,3.454,4.363
21800,3.454,4.363
22000,3.454,4.363
22200,3.454,4.363
22400,3.454,4.363
22600,3.454,4.363
22800,3.454,4.363
23000,3.454,4.363
23200,3.454,4.363
23400,3.454,4.363
23600,3.454,4.363
23800,3.454,4.363
24000,3.454,4.363
24200,3.454,4.363
24400,3.454,4.363
24600,3.454,4.363
24800,3.454,4.363
25000,3.454,4.363
25200,3.454,4.363
25400,3.454,4.363
25600,3.454,4.363
25800,3.454,4.363
26000,3.454,4.363
26200,3.454,4.363
26400,3.454,4.363
26600,3.454,4.363
26800,3.454,4.363
27000,3.454,4.363
27200,3.454,4.363
27400,3.454,4.363
27600,3.454,4.363
27800,3.454,4.363
28000,3.454,4.203
28200,3.454,4.203
28400,3.454,4.203
28600,3.454,4.203
28800,3.454,4.203
29000,3.454,4.203
29200,3.175,3.805
29400,3.016,3.287
29600,3.016,3.287
29800,3.016,3.287
30000,3.016,3.287
30200,2.538,2.928
30400,2.060,2.092
30600,1.821,1.733
30800,1.263,0.976
31000,1.263,0.976
31200,0.785,1.534
31400,0.665,1.773
31600,0.347,1.972
31800,0.227,2.092
32000,-0.092,2.530
32200,-0.570,2.968
32400,-0.570,2.968
32600,-0.570,2.968
32800,-0.570,2.968
33000,-0.610,2.968
33200,-0.610,2.968
33400,-0.610,2.968
33600,-0.610,2.968
33800,-0.171,2.968
34000,-0.052,2.968
34200,0.267,2.968
34400,0.307,2.968
34600,0.307,2.968
34800,0.307,2.968
35000,0.307,2.968
35200,0.307,2.968
35400,0.307,2.968
35600,0.307,2.968
35800,0.386,3.008
36000,0.386,3.008
36200,0.386,3.008
36400,0.386,3.048
36600,0.386,3.088
36800,0.147,3.287
37000,-0.171,3.446
37200,-0.171,3.446
37400,-0.331,3.526
37600,-0.490,3.606
37800,-0.490,3.606
38000,-0.490,3.606
38200,-0.490,3.606
38400,-0.490,3.606
38600,-0.490,3.606
38800,-0.490,3.606
39000,-0.490,3.606
39200,-0.490,3.606
39400,-0.490,3.606
39600,-0.490,3.606
39800,-0.570,3.446
40000,-0.570,3.446
40200,-0.610,3.287
40400,-0.610,3.247
40600,-0.610,3.167
40800,-0.610,3.167
41000,-0.530,2.928
41200,-0.530,2.888
41400,-0.490,2.729
41600,-0.490,2.729
41800,-0.490,2.729
42000,-0.490,2.729
42200,-0.490,2.729
42400,-0.490,2.729
42600,-0.410,2.649
42800,-0.331,2.610
43000,-0.251,2.490
43200,-0.171,2.131
43400,-0.052,1.932
43600,-0.012,1.813
43800,-0.012,1.813
44000,-0.012,1.813
44200,-0.012,1.813
44400,-0.012,1.813
44600,-0.012,1.813
44800,-0.012,1.813
45000,-0.012,1.813
45200,-0.012,1.813
45400,-0.012,1.773
45600,-0.012,1.614
45800,0.147,1.375
46000,0.227,1.016
46200,0.147,-0.418
46400,0.347,-0.578
46600,0.347,-0.578
46800,0.347,-0.578
47000,0.347,-0.578
47200,0.347,-0.578
47400,0.347,-0.578
47600,0.347,-0.578
47800,0.347,-0.578
48000,0.386,-0.618
48200,0.386,-0.618
48400,0.386,-0.618
48600,0.386,-0.618
48800,0.785,-0.857
49000,1.024,-0.976
49200,1.382,-1.056
49400,1.382,-1.056
49600,1.382,-1.056
49800,1.382,-1.056
50000,1.741,-0.578
50200,1.741,-0.538
50400,1.781,-0.418
50600,1.781,-0.378
50800,1.781,-0.339
51000,1.781,-0.339
51200,2.060,-0.339
51400,2.179,-0.339
51600,2.219,-0.339
51800,2.219,-0.339
52000,2.219,-0.339
52200,2.219,-0.339
52400,2.219,-0.378
52600,2.219,-0.378
52800,2.219,-0.378
53000,2.219,-0.378
53200,2.219,-0.378
