Start,End,Label
0,26000,Boy playing video games at home
26000,56000,Mother coming home from work with a gift
56000,118000,"Opening the gift, it's a puppy"
118000,181000,Puppy playing inside the house
181000,227000,Boy getting up to go outdoors and play with the puppy
