Calibration_Accuracy,64
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
0,623,594,false,false,true,false
0,480,609,false,false,true,false
0,329,653,false,false,true,false
0,229,675,false,false,true,false
0,150,682,false,false,true,false
0,124,673,false,false,true,false
0,113,662,false,false,true,false
0,113,651,false,false,true,false
0,112,636,false,false,true,false
0,160,661,false,false,true,false
0,182,660,false,false,true,false
0,209,659,false,false,true,false
0,225,651,false,false,true,false
0,242,643,false,false,true,false
0,233,652,false,false,true,false
0,250,641,false,false,true,false
0,240,611,false,false,true,false
0,241,593,false,false,true,false
0,269,568,false,false,true,false
0,433,504,false,false,true,false
0,504,450,false,false,true,false
0,609,425,false,false,false,true
0,635,379,true,false,false,false
0,679,343,true,false,false,false
0,720,318,true,false,false,false
0,768,285,true,false,false,false
0,805,260,true,false,false,false
0,802,243,true,false,false,false
0,828,264,true,false,false,false
0,768,269,true,false,false,false
0,788,243,true,false,false,false
0,803,223,true,false,false,false
0,857,239,true,false,false,false
0,872,245,true,false,false,false
0,921,236,true,false,false,false
0,934,229,true,false,false,false
0,942,224,true,false,false,false
0,967,213,true,false,false,false
0,1012,208,true,false,false,false
0,1057,203,true,false,false,false
0,1121,218,true,false,false,false
0,1173,231,true,false,false,false
0,1146,230,true,false,false,false
0,1178,236,true,false,false,false
0,1168,239,true,false,false,false
0,1115,251,true,false,false,false
0,1095,274,true,false,false,false
0,1080,294,true,false,false,false
4,1062,304,true,false,false,false
19,1013,287,true,false,false,false
28,967,278,true,false,false,false
50,916,256,true,false,false,false
76,909,249,true,false,false,false
107,918,243,true,false,false,false
141,886,241,true,false,false,false
182,916,232,true,false,false,false
225,981,223,true,false,false,false
267,1029,216,true,false,false,false
310,1064,203,true,false,false,false
366,1084,182,true,false,false,false
481,1104,114,true,false,false,false
534,1143,85,true,false,false,false
581,1120,57,false,false,false,true
653,1128,25,false,false,false,true
683,1031,58,false,false,false,true
709,927,78,true,false,false,false
739,867,129,true,false,false,false
769,782,175,true,false,false,false
807,742,227,true,false,false,false
843,687,273,true,false,false,false
880,637,304,true,false,false,false
922,609,312,true,false,false,false
963,603,319,true,false,false,false
997,590,313,true,false,false,false
1026,567,315,true,false,false,false
1055,558,301,true,false,false,false
1094,532,298,true,false,false,false
1136,542,303,true,false,false,false
1186,554,301,true,false,false,false
1244,524,305,true,false,false,false
1291,560,274,true,false,false,false
1330,561,257,true,false,false,false
1363,537,255,true,false,false,false
1398,526,276,true,false,false,false
1426,497,304,true,false,false,false
1452,476,303,true,false,false,false
1478,486,321,true,false,false,false
1508,515,328,true,false,false,false
1545,499,352,true,false,false,false
1589,550,313,true,false,false,false
1635,526,357,true,false,false,false
1679,478,415,true,false,false,false
1720,406,460,false,false,true,false
1760,355,474,false,false,true,false
1802,300,497,false,false,true,false
1841,259,512,false,false,true,false
1883,218,521,false,false,true,false
1922,172,540,false,false,true,false
1958,159,533,false,false,true,false
1994,142,525,false,false,true,false
2033,132,499,false,false,true,false
2071,117,489,false,false,true,false
2108,112,489,false,false,true,false
2148,118,509,false,false,true,false
2199,110,510,false,false,true,false
2244,150,465,false,false,true,false
2285,181,426,false,false,false,true
2319,224,361,true,false,false,false
2350,284,320,true,false,false,false
2379,334,287,true,false,false,false
2408,373,263,true,false,false,false
2440,396,244,true,false,false,false
2477,429,228,true,false,false,false
2515,473,210,true,false,false,false
2546,527,212,true,false,false,false
2575,544,218,true,false,false,false
2603,573,207,true,false,false,false
2633,648,170,true,false,false,false
2670,712,153,true,false,false,false
2721,759,150,true,false,false,false
2800,801,142,true,false,false,false
2862,829,151,true,false,false,false
2908,858,145,true,false,false,false
2950,864,152,true,false,false,false
2992,868,161,true,false,false,false
3032,858,175,true,false,false,false
3076,822,190,true,false,false,false
3115,798,206,true,false,false,false
3146,760,223,true,false,false,false
3175,721,237,true,false,false,false
3208,679,252,true,false,false,false
3245,656,258,true,false,false,false
3292,627,263,true,false,false,false
3339,653,249,true,false,false,false
3383,695,242,true,false,false,false
3447,732,231,true,false,false,false
3523,792,252,true,false,false,false
3576,818,246,true,false,false,false
3616,820,251,true,false,false,false
3650,849,236,true,false,false,false
3679,845,231,true,false,false,false
3703,829,243,true,false,false,false
3734,821,256,true,false,false,false
3766,836,262,true,false,false,false
3807,811,273,true,false,false,false
3863,799,282,true,false,false,false
3946,866,277,true,false,false,false
3995,953,314,true,false,false,false
4057,1008,257,true,false,false,false
4122,1158,165,true,false,false,false
4190,1315,137,false,false,false,true
4248,1425,102,false,false,false,true
4290,1547,63,false,false,false,true
4328,1559,53,false,false,false,true
4356,1532,75,false,false,false,true
4395,1359,133,false,false,false,true
4432,1275,146,false,true,false,false
4474,1099,212,true,false,false,false
4508,951,239,true,false,false,false
4548,892,272,true,false,false,false
4603,786,311,true,false,false,false
4653,742,336,true,false,false,false
4695,705,329,true,false,false,false
4742,728,356,true,false,false,false
4786,813,340,true,false,false,false
4824,939,329,true,false,false,false
4866,1086,315,true,false,false,false
4902,1224,309,false,false,false,true
4942,1347,258,false,true,false,false
4993,1470,236,false,true,false,false
5080,1471,236,false,true,false,false
5140,1492,236,false,false,false,true
5188,1459,260,false,true,false,false
5228,1449,264,false,true,false,false
5274,1456,238,false,true,false,false
5323,1422,262,false,true,false,false
5363,1369,291,false,true,false,false
5413,1354,310,false,true,false,false
5462,1298,305,false,true,false,false
5517,1359,288,false,true,false,false
5571,1363,280,false,true,false,false
5619,1383,274,false,true,false,false
5657,1405,277,false,true,false,false
5696,1411,269,false,true,false,false
5740,1466,242,false,true,false,false
5781,1495,235,false,false,false,true
5824,1514,212,false,false,false,true
5863,1517,195,false,false,false,true
5912,1525,190,false,false,false,true
6009,1529,183,false,false,false,true
6076,1536,179,false,false,false,true
6123,1525,184,false,false,false,true
6167,1516,209,false,false,false,true
6205,1499,229,false,false,false,true
6246,1462,248,false,true,false,false
6283,1434,245,false,true,false,false
6325,1394,266,false,true,false,false
6356,1369,273,false,true,false,false
6391,1352,284,false,true,false,false
6424,1342,301,false,true,false,false
6467,1317,287,false,true,false,false
6511,1304,293,false,true,false,false
6565,1317,309,false,true,false,false
6622,1322,296,false,true,false,false
6672,1340,269,false,true,false,false
6706,1348,256,false,true,false,false
6740,1349,247,false,true,false,false
6766,1356,239,false,true,false,false
6799,1368,233,false,true,false,false
6844,1387,233,false,true,false,false
6885,1439,214,false,true,false,false
6923,1465,207,false,true,false,false
6961,1410,270,false,true,false,false
6996,1268,267,false,true,false,false
7029,1224,294,false,false,false,true
7068,1258,338,false,true,false,false
7110,1314,343,false,true,false,false
7153,1352,342,false,true,false,false
7191,1359,340,false,true,false,false
7227,1378,336,false,true,false,false
7256,1381,309,false,true,false,false
7284,1385,294,false,true,false,false
7317,1387,284,false,true,false,false
7352,1404,259,false,true,false,false
7383,1413,230,false,true,false,false
7424,1394,235,false,true,false,false
7460,1394,241,false,true,false,false
7508,1396,237,false,true,false,false
7573,1389,246,false,true,false,false
7663,1384,239,false,true,false,false
7716,1374,252,false,true,false,false
7758,1384,238,false,true,false,false
7796,1368,239,false,true,false,false
7833,1355,216,false,true,false,false
7867,1359,219,false,true,false,false
7903,1364,201,false,true,false,false
7940,1336,195,false,true,false,false
7986,1341,196,false,true,false,false
8031,1337,194,false,true,false,false
8076,1330,200,false,true,false,false
8114,1328,187,false,true,false,false
8145,1332,180,false,true,false,false
8177,1329,166,false,true,false,false
8205,1341,163,false,true,false,false
8246,1343,171,false,true,false,false
8284,1352,166,false,true,false,false
8310,1367,164,false,true,false,false
8338,1364,172,false,true,false,false
8363,1383,170,false,true,false,false
8391,1367,170,false,true,false,false
8418,1370,162,false,true,false,false
8453,1367,170,false,true,false,false
8485,1343,178,false,true,false,false
8516,1347,185,false,true,false,false
8547,1341,183,false,true,false,false
8589,1348,165,false,true,false,false
8640,1314,193,false,true,false,false
8701,1234,293,false,false,false,true
8779,1106,369,true,false,false,false
8835,970,403,true,false,false,false
8879,828,415,true,false,false,false
8916,679,431,false,false,false,true
8949,607,429,false,false,false,true
8980,532,443,false,false,true,false
9015,452,454,false,false,true,false
9047,415,460,false,false,true,false
9083,373,439,false,false,true,false
9121,340,425,false,false,false,true
9176,356,424,false,false,false,true
9223,383,438,false,false,true,false
9264,398,438,false,false,true,false
9293,427,448,false,false,true,false
9324,457,446,false,false,true,false
9353,502,450,false,false,true,false
9381,516,458,false,false,true,false
9410,515,465,false,false,true,false
9439,533,475,false,false,true,false
9462,609,433,false,false,true,false
9485,609,461,false,false,true,false
9509,693,464,false,false,true,false
9538,809,414,true,false,false,false
9570,887,421,false,false,false,true
9608,997,428,false,false,false,true
9657,1040,436,false,false,true,false
9693,1002,387,true,false,false,false
9727,999,369,true,false,false,false
9758,1060,346,true,false,false,false
9807,1199,242,false,false,false,true
9861,1325,191,false,true,false,false
9922,1376,168,false,true,false,false
9969,1414,151,false,true,false,false
10005,1478,131,false,false,false,true
10039,1499,110,false,false,false,true
10070,1471,109,false,false,false,true
10104,1464,101,false,false,false,true
10140,1450,86,false,false,false,true
10170,1450,65,false,false,false,true
10197,1446,49,false,false,false,true
10223,1435,49,false,false,false,true
10250,1445,46,false,false,false,true
10276,1438,59,false,false,false,true
10301,1420,89,false,false,false,true
10329,1384,103,false,false,false,true
10354,1383,107,false,false,false,true
10381,1370,123,false,false,false,true
10424,1332,152,false,true,false,false
10509,1329,177,false,true,false,false
10575,1312,176,false,true,false,false
10625,1343,168,false,true,false,false
10662,1368,158,false,true,false,false
10694,1435,116,false,false,false,true
10725,1469,103,false,false,false,true
10758,1502,103,false,false,false,true
10793,1525,95,false,false,false,true
10831,1398,118,false,false,false,true
10862,1243,143,false,true,false,false
10885,1144,168,true,false,false,false
10908,1065,189,true,false,false,false
