ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.000,0.000
2000,0.000,0.000
2200,0.000,0.000
2400,0.000,0.000
2600,0.000,0.000
2800,0.000,0.000
3000,0.000,0.000
3200,0.000,0.000
3400,0.000,0.000
3600,0.000,0.000
3800,0.000,0.000
4000,0.000,0.000
4200,0.000,0.000
4400,0.000,0.000
4600,0.000,0.000
4800,0.000,0.000
5000,0.000,0.000
5200,0.000,0.000
5400,0.000,0.000
5600,0.000,0.000
5800,0.000,0.000
6000,0.000,0.000
6200,-0.012,-0.020
6400,-0.012,-0.020
6600,0.307,0.020
6800,0.506,0.100
7000,0.665,0.139
7200,0.665,0.139
7400,0.665,0.139
7600,0.665,0.139
7800,0.665,0.139
8000,0.665,0.139
8200,0.665,0.139
8400,0.665,0.139
8600,0.665,0.139
8800,0.825,0.139
9000,2.299,0.259
9200,2.538,0.259
9400,2.578,0.259
9600,2.538,1.135
9800,2.857,2.410
10000,3.335,3.247
10200,3.414,3.406
10400,3.813,3.765
10600,3.892,3.805
10800,3.972,3.845
11000,3.972,3.845
11200,3.972,3.845
11400,3.972,3.845
11600,3.972,3.845
11800,3.972,3.845
12000,3.972,3.845
12200,3.972,3.845
12400,3.972,3.845
12600,3.972,3.845
12800,3.972,3.845
13000,3.972,3.845
13200,3.972,3.845
13400,3.972,3.845
13600,3.972,3.845
13800,3.972,3.845
14000,3.972,3.845
14200,3.972,3.845
14400,3.972,3.845
14600,3.972,3.845
14800,3.972,3.845
15000,3.972,3.845
15200,3.972,3.845
15400,3.972,3.845
15600,3.972,3.845
15800,3.972,3.845
16000,3.972,3.845
16200,3.972,3.845
16400,3.972,3.845
16600,3.972,3.845
16800,3.972,3.845
17000,3.972,3.845
17200,3.972,3.845
17400,3.972,3.845
17600,3.972,3.845
17800,3.972,3.845
18000,3.972,3.845
18200,3.972,3.845
18400,3.972,3.845
18600,3.972,3.845
18800,3.972,3.845
19000,3.972,3.845
19200,3.972,3.845
19400,3.972,3.845
19600,3.972,3.845
19800,3.972,3.845
20000,3.972,3.845
20200,3.972,3.845
20400,3.972,3.845
20600,3.972,3.845
20800,3.972,3.845
21000,3.972,3.845
21200,3.972,3.845
21400,3.972,3.845
21600,3.972,3.845
21800,3.972,3.845
22000,3.972,3.845
22200,3.972,3.845
22400,3.693,3.167
22600,3.255,2.649
22800,3.175,2.610
23000,3.175,2.610
23200,1.781,2.012
23400,1.741,1.972
23600,1.622,2.012
23800,1.622,2.012
24000,1.622,2.012
24200,2.060,0.458
24400,2.219,-0.378
24600,2.737,-0.498
24800,3.454,-0.179
25000,3.454,-0.179
25200,3.335,-0.100
25400,3.335,-0.100
25600,3.335,-0.139
25800,3.494,-0.339
26000,3.494,-0.339
26200,3.494,-0.339
26400,3.414,-0.299
26600,3.375,-0.179
26800,3.335,-0.139
27000,3.335,-0.139
27200,3.335,-0.139
27400,3.335,-0.139
27600,3.335,-0.139
27800,3.335,-0.139
28000,3.335,-0.139
28200,3.335,-0.139
28400,3.335,-0.139
28600,3.335,-0.139
28800,3.335,-0.139
29000,3.335,-0.139
29200,3.335,-0.139
29400,3.335,-0.139
29600,3.335,-0.139
29800,3.335,-0.139
30000,3.335,-0.139
30200,3.335,-0.139
30400,3.335,-0.139
30600,3.335,-0.139
30800,3.335,-0.139
31000,3.335,-0.139
31200,3.335,-0.139
31400,3.335,-0.139
31600,3.335,-0.139
31800,3.335,-0.139
32000,3.335,-0.139
32200,3.335,-0.139
32400,3.335,-0.139
32600,3.335,-0.139
32800,3.335,-0.139
33000,3.335,-0.139
33200,3.335,-0.139
33400,3.335,-0.139
33600,3.335,-0.139
33800,3.335,-0.139
34000,3.335,-0.139
34200,3.335,-0.139
34400,3.335,-0.139
34600,3.335,-0.139
34800,3.335,-0.139
35000,3.335,-0.139
35200,3.335,-0.139
35400,3.335,-0.139
35600,3.335,-0.139
35800,3.335,-0.139
36000,3.335,-0.139
36200,3.335,-0.139
36400,3.335,-0.139
36600,3.335,-0.139
36800,3.335,-0.139
37000,3.335,-0.139
37200,3.335,-0.139
37400,3.335,-0.139
37600,3.335,-0.139
37800,3.335,-0.139
38000,3.016,0.020
38200,2.936,0.219
38400,2.936,0.976
38600,2.936,1.295
38800,2.857,1.494
39000,2.697,1.653
39200,2.697,1.653
39400,2.697,1.653
39600,2.697,1.653
39800,2.697,1.653
40000,2.697,1.653
40200,2.697,1.653
40400,2.697,1.653
40600,2.697,1.653
40800,2.697,1.653
41000,2.697,1.653
41200,2.697,1.653
41400,2.697,1.653
41600,2.697,1.653
41800,2.697,1.653
42000,2.697,1.653
42200,2.697,1.653
42400,2.697,1.653
42600,2.697,1.653
42800,2.697,1.653
43000,2.697,1.653
43200,2.697,1.653
43400,2.697,1.653
43600,2.697,1.653
43800,2.697,1.653
44000,2.697,1.653
44200,2.697,1.653
44400,2.697,1.653
44600,2.697,1.653
44800,2.697,1.653
45000,2.697,1.653
45200,2.697,1.653
45400,2.697,1.653
45600,2.697,1.653
45800,2.697,1.653
46000,2.697,1.653
46200,2.697,1.653
46400,2.697,1.653
46600,2.697,1.653
46800,2.697,1.653
47000,2.697,1.653
47200,2.697,1.653
47400,2.697,1.653
47600,2.697,1.653
47800,2.697,1.653
48000,2.697,1.653
48200,2.697,1.653
48400,2.697,1.653
48600,2.697,1.653
48800,2.697,1.653
49000,2.697,1.653
49200,2.697,1.653
49400,2.697,1.653
49600,2.697,1.653
49800,2.697,1.653
50000,2.697,1.653
50200,2.697,1.653
50400,2.697,1.653
50600,2.697,1.653
50800,2.697,1.733
51000,3.135,1.375
51200,3.295,1.215
51400,3.414,0.976
51600,3.733,0.618
51800,3.972,0.418
52000,4.012,0.378
52200,4.131,0.299
52400,4.291,0.179
52600,4.331,0.179
52800,4.331,0.179
53000,4.331,0.179
53200,4.331,0.179
53400,4.331,0.179
