Start,End,Label
0,49000,叫小孩睡觉
49000,173000,讲故事
173000,196000,小孩睡觉
196000,275000,与博士商讨
275000,299000,小黄人奸笑
299000,325000,与小孩玩
325000,390000,小孩被送走
390000,436000,没有小孩之后
436000,512000,回到发射站
512000,525000,准备发射
525000,580000,敌方想搞乱
580000,600000,解决了搞乱
