Start,End,Label
0,50000,睡前
50000,167000,讲故事
167000,213000,睡前聊天
213000,275000,俩老头聊天
275000,352000,吃早饭
352000,438000,送走小孩们
438000,526000,工作
526000,600000,火箭发射
