Start,End,Label
0,22000,故事开始
22000,56000,提要求
56000,164000,开始讲故事
164000,213000,故事结束，进入梦乡
213000,267000,新故事开始
267000,287000,冲突产生
287000,339000,搞笑
339000,406000,三个女孩被接走
406000,457000,难过不舍
457000,534000,火箭
534000,557000,火箭发射
557000,597000,新人物
597000,600000,故事结束
