Start,End,Label
0,17000,母猴抱着小猴在树上躲雨
17000,32000,两只猴子被关在笼子
32000,44000,两个人在谈猴子买卖的价格
44000,56000,交易成功，带走一只小猴子
56000,121000,猴群和小猴子
121000,219000,养猴人让猴子上树摘果
219000,325000,猴子们翻垃圾桶寻找食物
