Start,End,Label
0,19000,雨中 猴子妈妈和猴子小孩在树枝上
19000,60000,笼中猴，交易买卖
60000,126000,猴子野外生活
126000,219000,猴子摘椰子运送椰子
219000,339000,猴子寻找食物
