Start,End,Label
0,13000,故事开始
13000,22000,男孩打游戏
22000,54000,母亲出场
54000,70000,拆礼物
70000,98000,嫌弃小狗
98000,133000,小狗玩耍
133000,155000,感到开心
155000,175000,邀请一起玩耍
175000,187000,男孩残疾
187000,208000,一起外出游玩
