Start,End,Label
0,26000,男孩在家打游戏
26000,56000,妈妈下班回家，带礼物
56000,118000,打开礼物，是小狗
118000,181000,小狗在家里面玩
181000,227000,男孩起身，去户外和小狗玩耍
